timestamp,elapsed_s,source,rpm,torque_nm,throttle_pct
2026-06-08T15:39:24.835,0.000,rpm,0.000,,
2026-06-08T15:39:24.836,0.000,torque,0.000,0.040797,
2026-06-08T15:39:24.836,0.000,rpm,0.000,0.040797,
2026-06-08T15:39:24.836,0.000,rpm,0.000,0.040797,
2026-06-08T15:39:24.836,0.000,rpm,0.000,0.040797,
2026-06-08T15:39:24.836,0.000,torque,0.000,0.040836,
2026-06-08T15:39:24.836,0.000,rpm,0.000,0.040836,
2026-06-08T15:39:24.836,0.000,rpm,0.000,0.040836,
2026-06-08T15:39:24.836,0.000,rpm,0.000,0.040836,
2026-06-08T15:39:24.860,0.031,rpm,0.000,0.040836,
2026-06-08T15:39:24.880,0.047,torque,0.000,0.040894,
2026-06-08T15:39:24.881,0.047,rpm,0.000,0.040894,
2026-06-08T15:39:24.898,0.062,rpm,0.000,0.040894,
2026-06-08T15:39:24.934,0.094,rpm,0.000,0.040894,
2026-06-08T15:39:24.954,0.125,rpm,0.000,0.040894,
2026-06-08T15:39:24.955,0.125,torque,0.000,0.040713,
2026-06-08T15:39:24.955,0.125,rpm,0.000,0.040713,
2026-06-08T15:39:24.973,0.140,rpm,0.000,0.040713,
2026-06-08T15:39:25.008,0.172,rpm,0.000,0.040713,
2026-06-08T15:39:25.033,0.203,rpm,0.000,0.040713,
2026-06-08T15:39:25.035,0.203,torque,0.000,0.040830,
2026-06-08T15:39:25.059,0.219,rpm,0.000,0.040830,
2026-06-08T15:39:25.088,0.250,rpm,0.000,0.040830,
2026-06-08T15:39:25.090,0.250,rpm,0.000,0.040830,
2026-06-08T15:39:25.117,0.281,rpm,0.000,0.040830,
2026-06-08T15:39:25.121,0.281,torque,0.000,0.040908,
2026-06-08T15:39:25.149,0.312,rpm,0.000,0.040908,
2026-06-08T15:39:25.168,0.328,rpm,0.000,0.040908,
2026-06-08T15:39:25.172,0.344,rpm,0.000,0.040908,
2026-06-08T15:39:25.187,0.359,rpm,0.000,0.040908,
2026-06-08T15:39:25.205,0.375,rpm,0.000,0.040908,
2026-06-08T15:39:25.211,0.375,torque,0.000,0.040855,
2026-06-08T15:39:25.236,0.406,rpm,0.000,0.040855,
2026-06-08T15:39:25.264,0.422,rpm,0.000,0.040855,
2026-06-08T15:39:25.282,0.453,rpm,0.000,0.040855,
2026-06-08T15:39:25.295,0.453,rpm,0.000,0.040855,
2026-06-08T15:39:25.318,0.484,torque,0.000,0.040920,
2026-06-08T15:39:25.333,0.500,rpm,0.000,0.040920,
2026-06-08T15:39:25.334,0.500,rpm,0.000,0.040920,
2026-06-08T15:39:25.378,0.547,rpm,0.000,0.040920,
2026-06-08T15:39:25.396,0.562,torque,0.000,0.041013,
2026-06-08T15:39:25.396,0.562,rpm,0.000,0.041013,
2026-06-08T15:39:25.422,0.594,rpm,0.000,0.041013,
2026-06-08T15:39:25.427,0.594,rpm,0.000,0.041013,
2026-06-08T15:39:25.449,0.609,rpm,0.000,0.041013,
2026-06-08T15:39:25.476,0.640,torque,0.000,0.040992,
2026-06-08T15:39:25.492,0.656,rpm,0.000,0.040992,
2026-06-08T15:39:25.492,0.656,rpm,0.000,0.040992,
2026-06-08T15:39:25.515,0.687,rpm,0.000,0.040992,
2026-06-08T15:39:25.540,0.703,rpm,0.000,0.040992,
2026-06-08T15:39:25.555,0.719,rpm,0.000,0.040992,
2026-06-08T15:39:25.556,0.719,torque,0.000,0.041107,
2026-06-08T15:39:25.586,0.750,rpm,0.000,0.041107,
2026-06-08T15:39:25.589,0.750,rpm,0.000,0.041107,
2026-06-08T15:39:25.617,0.781,rpm,0.000,0.041107,
2026-06-08T15:39:25.636,0.797,rpm,0.000,0.041107,
2026-06-08T15:39:25.651,0.812,torque,0.000,0.041085,
2026-06-08T15:39:25.670,0.828,rpm,0.000,0.041085,
2026-06-08T15:39:25.687,0.859,rpm,0.000,0.041085,
2026-06-08T15:39:25.703,0.875,rpm,0.000,0.041085,
2026-06-08T15:39:25.720,0.890,rpm,0.000,0.041085,
2026-06-08T15:39:25.727,0.890,rpm,0.000,0.041085,
2026-06-08T15:39:25.729,0.890,torque,0.000,0.040933,
2026-06-08T15:39:25.761,0.922,rpm,0.000,0.040933,
2026-06-08T15:39:25.779,0.937,rpm,0.000,0.040933,
2026-06-08T15:39:25.802,0.969,rpm,0.000,0.040933,
2026-06-08T15:39:25.810,0.969,rpm,0.000,0.040933,
2026-06-08T15:39:25.828,1.000,torque,0.000,0.040587,
2026-06-08T15:39:25.845,1.015,rpm,0.000,0.040587,
2026-06-08T15:39:25.878,1.047,rpm,0.000,0.040587,
2026-06-08T15:39:25.889,1.047,rpm,0.000,0.040587,
2026-06-08T15:39:25.908,1.078,torque,0.000,0.040836,
2026-06-08T15:39:25.920,1.078,rpm,0.000,0.040836,
2026-06-08T15:39:25.949,1.109,rpm,0.000,0.040836,
2026-06-08T15:39:25.957,1.125,rpm,0.000,0.040836,
2026-06-08T15:39:25.980,1.140,rpm,0.000,0.040836,
2026-06-08T15:39:25.991,1.156,torque,0.000,0.041039,
2026-06-08T15:39:26.005,1.172,rpm,0.000,0.041039,
2026-06-08T15:39:26.039,1.203,rpm,0.000,0.041039,
2026-06-08T15:39:26.041,1.203,rpm,0.000,0.041039,
2026-06-08T15:39:26.069,1.234,rpm,0.000,0.041039,
2026-06-08T15:39:26.088,1.250,torque,0.000,0.040912,
2026-06-08T15:39:26.088,1.250,rpm,0.000,0.040912,
2026-06-08T15:39:26.114,1.281,rpm,0.000,0.040912,
2026-06-08T15:39:26.132,1.297,rpm,0.000,0.040912,
2026-06-08T15:39:26.157,1.328,rpm,0.000,0.040912,
2026-06-08T15:39:26.161,1.328,torque,0.000,0.040883,
2026-06-08T15:39:26.190,1.359,rpm,0.000,0.040883,
2026-06-08T15:39:26.211,1.375,rpm,0.000,0.040883,
2026-06-08T15:39:26.229,1.390,rpm,0.000,0.040883,
2026-06-08T15:39:26.247,1.406,torque,0.000,0.040923,
2026-06-08T15:39:26.259,1.422,rpm,0.000,0.040923,
2026-06-08T15:39:26.290,1.453,rpm,0.000,0.040923,
2026-06-08T15:39:26.309,1.469,rpm,0.000,0.040923,
2026-06-08T15:39:26.327,1.484,rpm,0.000,0.040923,
2026-06-08T15:39:26.343,1.515,torque,0.000,0.040910,
2026-06-08T15:39:26.358,1.515,rpm,0.000,0.040910,
2026-06-08T15:39:26.367,1.531,rpm,0.000,0.040910,
2026-06-08T15:39:26.394,1.562,rpm,0.000,0.040910,
2026-06-08T15:39:26.396,1.562,rpm,0.000,0.040910,
2026-06-08T15:39:26.422,1.594,torque,0.000,0.040957,
2026-06-08T15:39:26.422,1.594,rpm,0.000,0.040957,
2026-06-08T15:39:26.433,1.594,rpm,0.000,0.040957,
2026-06-08T15:39:26.467,1.625,rpm,0.000,0.040957,
2026-06-08T15:39:26.488,1.656,rpm,0.000,0.040957,
2026-06-08T15:39:26.497,1.656,rpm,0.000,0.040957,
2026-06-08T15:39:26.515,1.687,torque,0.000,0.040958,
2026-06-08T15:39:26.578,1.750,rpm,0.000,0.040958,
2026-06-08T15:39:26.597,1.765,torque,0.000,0.040855,
2026-06-08T15:39:26.597,1.765,rpm,0.000,0.040855,
2026-06-08T15:39:26.644,1.812,rpm,0.000,0.040855,
2026-06-08T15:39:26.661,1.828,rpm,0.000,0.040855,
2026-06-08T15:39:26.679,1.844,rpm,0.000,0.040855,
2026-06-08T15:39:26.682,1.844,torque,0.000,0.041044,
2026-06-08T15:39:26.709,1.875,rpm,0.000,0.041044,
2026-06-08T15:39:26.738,1.906,rpm,0.000,0.041044,
2026-06-08T15:39:26.758,1.922,rpm,0.000,0.041044,
2026-06-08T15:39:26.760,1.922,rpm,0.000,0.041044,
2026-06-08T15:39:26.774,1.937,torque,0.000,0.041100,
2026-06-08T15:39:26.798,1.969,rpm,0.000,0.041100,
2026-06-08T15:39:26.810,1.969,rpm,0.000,0.041100,
2026-06-08T15:39:26.819,1.984,rpm,0.000,0.041100,
2026-06-08T15:39:26.854,2.015,torque,0.000,0.040999,
2026-06-08T15:39:26.884,2.047,rpm,0.000,0.040999,
2026-06-08T15:39:26.884,2.047,rpm,0.000,0.040999,
2026-06-08T15:39:26.905,2.062,rpm,0.000,0.040999,
2026-06-08T15:39:26.932,2.094,rpm,0.000,0.040999,
2026-06-08T15:39:26.946,2.109,torque,0.000,0.041099,
2026-06-08T15:39:26.959,2.125,rpm,0.000,0.041099,
2026-06-08T15:39:26.981,2.140,rpm,0.000,0.041099,
2026-06-08T15:39:26.999,2.172,rpm,0.000,0.041099,
2026-06-08T15:39:27.016,2.187,rpm,0.000,0.041099,
2026-06-08T15:39:27.031,2.203,torque,0.000,0.041076,
2026-06-08T15:39:27.032,2.203,rpm,0.000,0.041076,
2026-06-08T15:39:27.037,2.203,rpm,0.000,0.041076,
2026-06-08T15:39:27.070,2.234,rpm,0.000,0.041076,
2026-06-08T15:39:27.091,2.250,rpm,0.000,0.041076,
2026-06-08T15:39:27.107,2.265,rpm,0.000,0.041076,
2026-06-08T15:39:27.123,2.281,torque,0.000,0.040916,
2026-06-08T15:39:27.143,2.312,rpm,0.000,0.040916,
2026-06-08T15:39:27.191,2.359,rpm,0.000,0.040916,
2026-06-08T15:39:27.202,2.359,torque,0.000,0.041038,
2026-06-08T15:39:27.205,2.375,rpm,0.000,0.041038,
2026-06-08T15:39:27.237,2.406,rpm,0.000,0.041038,
2026-06-08T15:39:27.267,2.437,rpm,0.000,0.041038,
2026-06-08T15:39:27.283,2.453,rpm,0.000,0.041038,
2026-06-08T15:39:27.283,2.453,rpm,0.000,0.041038,
2026-06-08T15:39:27.301,2.469,torque,0.000,0.040987,
2026-06-08T15:39:27.318,2.484,rpm,0.000,0.040987,
2026-06-08T15:39:27.330,2.500,rpm,0.000,0.040987,
2026-06-08T15:39:27.347,2.515,rpm,0.000,0.040987,
2026-06-08T15:39:27.368,2.531,rpm,0.000,0.040987,
2026-06-08T15:39:27.375,2.547,torque,0.000,0.040874,
2026-06-08T15:39:27.401,2.562,rpm,0.000,0.040874,
2026-06-08T15:39:27.408,2.578,rpm,0.000,0.040874,
2026-06-08T15:39:27.434,2.594,rpm,0.000,0.040874,
2026-06-08T15:39:27.455,2.625,rpm,0.000,0.040874,
2026-06-08T15:39:27.459,2.625,torque,0.000,0.041084,
2026-06-08T15:39:27.484,2.656,rpm,0.000,0.041084,
2026-06-08T15:39:27.492,2.656,rpm,0.000,0.041084,
2026-06-08T15:39:27.520,2.687,rpm,0.000,0.041084,
2026-06-08T15:39:27.539,2.703,rpm,0.000,0.041084,
2026-06-08T15:39:27.555,2.719,torque,0.000,0.041099,
2026-06-08T15:39:27.556,2.719,rpm,0.000,0.041099,
2026-06-08T15:39:27.580,2.750,rpm,0.000,0.041099,
2026-06-08T15:39:27.603,2.765,rpm,0.000,0.041099,
2026-06-08T15:39:27.617,2.781,rpm,0.000,0.041099,
2026-06-08T15:39:27.635,2.797,torque,0.000,0.041110,
2026-06-08T15:39:27.635,2.797,rpm,0.000,0.041110,
2026-06-08T15:39:27.669,2.828,rpm,0.000,0.041110,
2026-06-08T15:39:27.671,2.828,rpm,0.000,0.041110,
2026-06-08T15:39:27.700,2.859,rpm,0.000,0.041110,
2026-06-08T15:39:27.716,2.875,rpm,0.000,0.041110,
2026-06-08T15:39:27.732,2.890,torque,0.000,0.041201,
2026-06-08T15:39:27.748,2.906,rpm,0.000,0.041201,
2026-06-08T15:39:27.765,2.937,rpm,0.000,0.041201,
2026-06-08T15:39:27.767,2.937,rpm,0.000,0.041201,
2026-06-08T15:39:27.796,2.969,rpm,0.000,0.041201,
2026-06-08T15:39:27.812,2.984,torque,0.000,0.041217,
2026-06-08T15:39:27.816,2.984,rpm,0.000,0.041217,
2026-06-08T15:39:27.844,3.015,rpm,0.000,0.041217,
2026-06-08T15:39:27.866,3.031,rpm,0.000,0.041217,
2026-06-08T15:39:27.875,3.047,rpm,0.000,0.041217,
2026-06-08T15:39:27.893,3.062,rpm,0.000,0.041217,
2026-06-08T15:39:27.900,3.062,torque,0.000,0.041124,
2026-06-08T15:39:27.922,3.094,rpm,0.000,0.041124,
2026-06-08T15:39:27.935,3.094,rpm,0.000,0.041124,
2026-06-08T15:39:27.953,3.125,rpm,0.000,0.041124,
2026-06-08T15:39:27.971,3.140,rpm,0.000,0.041124,
2026-06-08T15:39:27.987,3.156,torque,0.000,0.041153,
2026-06-08T15:39:28.002,3.172,rpm,0.000,0.041153,
2026-06-08T15:39:28.040,3.203,rpm,0.000,0.041153,
2026-06-08T15:39:28.068,3.234,rpm,0.000,0.041153,
2026-06-08T15:39:28.068,3.234,torque,0.000,0.041184,
2026-06-08T15:39:28.083,3.250,rpm,0.000,0.041184,
2026-06-08T15:39:28.110,3.281,rpm,0.000,0.041184,
2026-06-08T15:39:28.121,3.281,rpm,0.000,0.041184,
2026-06-08T15:39:28.129,3.297,rpm,0.000,0.041184,
2026-06-08T15:39:28.158,3.328,torque,0.000,0.041223,
2026-06-08T15:39:28.158,3.328,rpm,0.000,0.041223,
2026-06-08T15:39:28.188,3.359,rpm,0.000,0.041223,
2026-06-08T15:39:28.196,3.359,rpm,0.000,0.041223,
2026-06-08T15:39:28.216,3.375,rpm,0.000,0.041223,
2026-06-08T15:39:28.243,3.406,torque,0.000,0.041224,
2026-06-08T15:39:28.244,3.406,rpm,0.000,0.041224,
2026-06-08T15:39:28.270,3.437,rpm,0.000,0.041224,
2026-06-08T15:39:28.292,3.453,rpm,0.000,0.041224,
2026-06-08T15:39:28.293,3.453,rpm,0.000,0.041224,
2026-06-08T15:39:28.320,3.484,rpm,0.000,0.041224,
2026-06-08T15:39:28.338,3.500,torque,0.000,0.041262,
2026-06-08T15:39:28.339,3.500,rpm,0.000,0.041262,
2026-06-08T15:39:28.366,3.531,rpm,0.000,0.041262,
2026-06-08T15:39:28.389,3.547,rpm,0.000,0.041262,
2026-06-08T15:39:28.404,3.562,rpm,0.000,0.041262,
2026-06-08T15:39:28.420,3.578,torque,0.000,0.041201,
2026-06-08T15:39:28.422,3.594,rpm,0.000,0.041201,
2026-06-08T15:39:28.455,3.625,rpm,0.000,0.041201,
2026-06-08T15:39:28.483,3.640,rpm,0.000,0.041201,
2026-06-08T15:39:28.500,3.672,rpm,0.000,0.041201,
2026-06-08T15:39:28.501,3.672,torque,0.000,0.041396,
2026-06-08T15:39:28.516,3.687,rpm,0.000,0.041396,
2026-06-08T15:39:28.535,3.703,rpm,0.000,0.041396,
2026-06-08T15:39:28.564,3.734,rpm,0.000,0.041396,
2026-06-08T15:39:28.580,3.750,rpm,0.000,0.041396,
2026-06-08T15:39:28.587,3.750,torque,0.000,0.041369,
2026-06-08T15:39:28.609,3.781,rpm,0.000,0.041369,
2026-06-08T15:39:28.610,3.781,rpm,0.000,0.041369,
2026-06-08T15:39:28.634,3.797,rpm,0.000,0.041369,
2026-06-08T15:39:28.660,3.828,rpm,0.000,0.041369,
2026-06-08T15:39:28.676,3.844,torque,0.000,0.041174,
2026-06-08T15:39:28.676,3.844,rpm,0.000,0.041174,
2026-06-08T15:39:28.709,3.875,rpm,0.000,0.041174,
2026-06-08T15:39:28.724,3.890,rpm,0.000,0.041174,
2026-06-08T15:39:28.740,3.906,rpm,0.000,0.041174,
2026-06-08T15:39:28.756,3.922,rpm,0.000,0.041174,
2026-06-08T15:39:28.771,3.937,torque,0.000,0.041201,
2026-06-08T15:39:28.788,3.953,rpm,0.000,0.041201,
2026-06-08T15:39:28.803,3.969,rpm,0.000,0.041201,
2026-06-08T15:39:28.819,3.984,rpm,0.000,0.041201,
2026-06-08T15:39:28.836,4.000,rpm,0.000,0.041201,
2026-06-08T15:39:28.852,4.015,torque,0.000,0.041536,
2026-06-08T15:39:28.876,4.047,rpm,0.000,0.041536,
2026-06-08T15:39:28.900,4.062,rpm,0.000,0.041536,
2026-06-08T15:39:28.916,4.078,rpm,0.000,0.041536,
2026-06-08T15:39:28.934,4.094,torque,0.000,0.041563,
2026-06-08T15:39:28.942,4.109,rpm,0.000,0.041563,
2026-06-08T15:39:28.964,4.125,rpm,0.000,0.041563,
2026-06-08T15:39:28.989,4.156,rpm,0.000,0.041563,
2026-06-08T15:39:28.991,4.156,rpm,0.000,0.041563,
2026-06-08T15:39:29.018,4.187,rpm,0.000,0.041563,
2026-06-08T15:39:29.021,4.187,torque,0.000,0.041581,
2026-06-08T15:39:29.044,4.203,rpm,0.000,0.041581,
2026-06-08T15:39:29.067,4.234,rpm,0.000,0.041581,
